id,id_objecta,id_spr_etap_rabot,id_otvetstvennogo,id_avtor,data_nachala_rabot,data_okonchaniya_rabot,document_number,srok_dney,comment,status
9911,213057100,8,6,6,2014-04-28,2014-04-28,,,," ? ??????"
9912,213057101,8,6,6,2014-04-29,2014-04-29,,,"01.05.14 ?????????? ????????? ???. ??"," ? ??????"
9913,213057102,8,6,6,2014-04-29,2014-04-29,,,," ? ??????"
9914,213057103,8,6,6,2014-05-12,2014-05-12,,,," ? ??????"
9915,213057104,8,6,6,2014-04-29,2014-04-29,,,"01.05.14 ?????????? ????????? ???. ??"," ? ??????"
9916,213057105,8,6,6,2014-05-11,2014-05-09,,,," ? ??????"
9917,213057106,8,6,6,2014-05-07,2014-05-07,,,," ? ??????"
9918,213057107,8,6,6,2014-05-06,2014-05-06,,,," ? ??????"
9919,213057108,8,6,6,2014-05-06,2014-05-06,,,," ? ??????"
9920,213057109,8,6,6,2014-05-06,2014-05-06,,,," ? ??????"
9921,213057110,8,6,6,2014-05-02,2014-05-01,,,," ? ??????"
9922,213057111,8,6,6,2014-04-22,2014-04-22,,,," ? ??????"
9923,213057112,8,6,6,2014-04-24,2014-04-24,,,," ? ??????"
9924,213057113,8,6,6,2014-04-24,2014-04-24,,,," ? ??????"
9925,213057114,8,6,6,2014-05-05,2014-05-04,,,," ? ??????"
9926,213057115,8,6,6,2014-05-06,2014-05-06,,,," ? ??????"
9927,213057116,8,6,6,2014-05-05,2014-05-05,,,," ? ??????"
9928,213057117,67,20,20,2014-05-05,2014-05-05,169,,," ? ??????"
9929,213057118,67,20,20,2014-05-05,2014-05-05,170,,," ? ??????"
9930,213057119,8,6,6,2014-05-05,2014-05-05,,,," ? ??????"
9931,213057120,8,6,6,2014-05-05,2014-05-05,,,," ? ??????"
9932,213057121,4,20,20,2014-04-21,2014-04-17,36_41827,,," ? ??????"
9933,213057122,21,3,3,2014-03-19,2014-03-19,,,"????????? 19.03.2014"," ? ??????"
9934,213057123,4,20,20,2014-04-21,2014-04-17,36_41829,,," ? ??????"
9935,213057124,8,6,6,2014-05-11,2014-05-09,,,," ? ??????"
9936,213057125,8,6,6,2014-04-29,2014-04-29,,,," ? ??????"
9937,213057126,8,6,6,2014-04-29,2014-04-29,,,," ? ??????"
9938,213057127,8,6,6,2014-05-11,2014-05-08,,,," ? ??????"
9939,213057128,8,6,6,2014-05-02,2014-04-30,,,," ? ??????"
9940,213057129,8,6,6,2014-04-24,2014-04-24,,,," ? ??????"
9941,213057130,6,20,20,2014-04-25,2014-04-25,,,"??????????? 25.04.14"," ? ??????"
9942,213057131,67,20,20,2014-04-28,2014-04-28,129,,," ? ??????"
9943,213057132,67,20,20,2014-04-28,2014-04-28,128,,," ? ??????"
9944,213057133,8,6,6,2014-04-28,2014-04-28,,,," ? ??????"
9945,213057134,8,6,6,2014-04-29,2014-04-29,,,," ? ??????"
9946,213057135,6,20,20,2014-04-28,2014-04-28,,,"?????? ?? ???????????? 28.04.14."," ? ??????"
9947,213057136,8,6,6,2014-04-29,2014-04-29,,,," ? ??????"
9948,213057137,4,20,20,2014-04-21,2014-04-17,36_41838,,," ? ??????"
9949,213057138,8,6,6,2014-05-02,2014-05-02,,,," ? ??????"
9950,213057139,8,6,6,2014-05-02,2014-05-02,,,," ? ??????"
9951,213057140,8,6,6,2014-05-11,2014-05-11,,,," ? ??????"
9952,213057141,8,6,6,2014-05-11,2014-05-08,,,," ? ??????"
9953,213057142,67,20,20,2014-04-28,2014-04-28,126,,," ? ??????"
9954,213057143,8,6,6,2014-05-02,2014-04-30,,,," ? ??????"
9955,213057144,8,6,6,2014-05-02,2014-04-30,,,," ? ??????"
9956,213057145,8,6,6,2014-05-02,2014-04-30,,,," ? ??????"
9957,213057146,8,6,6,2014-04-28,2014-04-28,,,," ? ??????"
9958,213057147,8,6,6,2014-04-28,2014-04-28,,,," ? ??????"
9959,213057148,67,20,20,2014-04-23,2014-04-23,85,,," ? ??????"
9960,213057149,67,20,20,2014-04-23,2014-04-23,94,,," ? ??????"
9961,213057150,8,6,6,2014-04-23,2014-04-23,,,," ? ??????"
9962,213057151,8,6,6,2014-05-02,2014-05-02,,,," ? ??????"
9963,213057152,8,6,6,2014-04-24,2014-04-24,,,," ? ??????"
9964,213057153,8,6,6,2014-04-24,2014-04-24,,,," ? ??????"
9965,213057154,8,6,6,2014-05-06,2014-05-06,,,," ? ??????"
9966,213057155,8,6,6,2014-05-05,2014-05-04,,,," ? ??????"
9967,213057156,8,6,6,2014-05-05,2014-05-05,,,," ? ??????"
9968,213057157,8,6,6,2014-05-05,2014-05-05,,,," ? ??????"
9969,213057158,8,6,6,2014-05-05,2014-05-05,,,," ? ??????"
9970,213057159,8,6,6,2014-05-12,2014-05-12,,,," ? ??????"
9971,213057160,8,6,6,2014-05-05,2014-05-05,,,," ? ??????"
9972,213057161,8,6,6,2014-05-02,2014-05-01,,,," ? ??????"
9973,213057162,8,6,6,2014-05-02,2014-05-01,,,," ? ??????"
